"emp_no","dept_name","first_name","last_name"
10681,"Sales","Florina","Garnier"
10692,"Sales","Larisa","Bage"
10701,"Sales","Hyuncheol","Zolotykh"
10705,"Sales","Hironobu","Wynblatt"
10710,"Sales","Sorina","Kermarrec"
10725,"Sales","Garnet","Isard"
10744,"Sales","Yaghout","Syang"
10754,"Sales","Chenyi","Feinberg"
10765,"Sales","Goetz","Norsworthy"
10767,"Sales","Monique","Doering"
10770,"Sales","Bedir","Perry"
10788,"Sales","Frazer","Ullian"
10795,"Sales","Supot","Naudin"
10804,"Sales","Terresa","Benantar"
10807,"Sales","Munehiro","Zallocco"
10810,"Sales","Lijie","Lunn"
10813,"Sales","Shalesh","Shumilov"
10814,"Sales","Nidapan","Dymetman"
10817,"Sales","Uri","Rullman"
10828,"Sales","Godehard","Gammage"
10832,"Sales","Hidde","Bergere"
10836,"Sales","Jianhua","Leivant"
10837,"Sales","Chuanti","Karlin"
10855,"Sales","Kwangho","Reinhart"
10857,"Sales","Fusako","Stenning"
10862,"Sales","Zhenbing","Kadhim"
10864,"Sales","Elliott","Spieker"
10865,"Sales","Danco","Etalle"
10876,"Sales","Vincent","Papastamatiou"
10878,"Sales","Lakshmi","Deville"
10885,"Sales","Rayond","Cronau"
10889,"Sales","Cheong","Coors"
10890,"Sales","Ramzi","Furudate"
10895,"Sales","Vishwani","Petersohn"
10897,"Sales","Arno","Kumaresan"
10906,"Sales","Munehiro","Carrere"
10914,"Sales","Mizuhito","Prochazka"
10922,"Sales","Kyoichi","Wossner"
10923,"Sales","Younwoo","Maquelin"
10924,"Sales","Hironoby","Atchley"
10953,"Sales","Jahangir","Laventhal"
10955,"Sales","Urs","Danley"
10957,"Sales","Duke","Schnabel"
10959,"Sales","Kerryn","Vigier"
10960,"Sales","Billur","Braunschweig"
10962,"Sales","Naraig","Kugler"
10965,"Sales","Eckart","Braunschweig"
10968,"Sales","Lakshmi","Kolinko"
10977,"Sales","Toong","Murrill"
10981,"Sales","Sugwoo","Dulin"
10996,"Sales","Matk","Rahimi"
10998,"Sales","Marlo","Kandlur"
11002,"Sales","Bluma","Ulupinar"
11008,"Sales","Gennady","Menhoudj"
11009,"Sales","Alper","Axelband"
11015,"Sales","Jeanna","Riesenhuber"
11022,"Sales","Apostol","Pintelas"
11023,"Sales","Yifei","Driscoll"
11024,"Sales","Manton","Collavizza"
11029,"Sales","Georgi","Itzfeldt"
11030,"Sales","Kwan","Hellwagner"
11044,"Sales","Elvia","Cherinka"
11048,"Sales","Jaques","Demke"
11049,"Sales","Gift","Apsitis"
11055,"Sales","Shaleah","Neiman"
11056,"Sales","Palash","Speel"
11057,"Sales","Adly","Vural"
11060,"Sales","Genevieve","Pokrovskii"
11061,"Sales","Pintsang","Erni"
11086,"Sales","Yishai","Dalphin"
11089,"Sales","Conal","Henders"
11092,"Sales","Narain","Stamatiou"
11097,"Sales","Jovan","Rissanen"
11099,"Sales","Woody","Spataro"
11102,"Sales","Bernardo","Carrera"
11109,"Sales","Chinho","Stamatiou"
11120,"Sales","Masato","Curless"
11124,"Sales","Gladys","Porenta"
11144,"Sales","Carrsten","Heinisuo"
11146,"Sales","Ishfaq","Masand"
11149,"Sales","Domenico","Imataki"
11150,"Sales","Geraldo","Garigliano"
11155,"Sales","Moon","Yetto"
11159,"Sales","Becky","Schlenzig"
11163,"Sales","Djenana","Huttel"
11164,"Sales","Alain","Limongiello"
11168,"Sales","Shmuel","Tetzlaff"
11172,"Sales","Kristian","Sudkamp"
11189,"Sales","Dante","Bodoff"
11190,"Sales","Saeko","Mellouli"
11197,"Sales","Tadahiro","Fordan"
11198,"Sales","Leif","Gini"
11205,"Sales","Tayeb","Ebeling"
11206,"Sales","Steen","Sury"
11212,"Sales","Teruyuki","Peternell"
11214,"Sales","Elgin","Ibel"
11222,"Sales","Yishai","Neimat"
11226,"Sales","Margareta","Akiyama"
11237,"Sales","Brendon","Salinas"
11239,"Sales","Gurbir","Kenevan"
11241,"Sales","Yolla","Clemencon"
11248,"Sales","Uinam","Tsukuda"
11254,"Sales","Danel","Rindone"
11256,"Sales","Gudjon","Ratzlaff"
11259,"Sales","Amalendu","Gronowski"
11269,"Sales","Garnik","Slutz"
11271,"Sales","Hidde","Rajaraman"
11272,"Sales","Frederique","Molenkamp"
11282,"Sales","Josyula","Schaad"
11286,"Sales","Joydip","Gini"
11288,"Sales","Domenico","Eastman"
11302,"Sales","Shem","Senzako"
11306,"Sales","Subhankar","Reeken"
11307,"Sales","Mohd","Dratva"
11310,"Sales","Jianhua","Swab"
11315,"Sales","Neven","Meriste"
11318,"Sales","Gopalakrishnan","Unno"
11328,"Sales","Xiong","Ferriere"
11329,"Sales","Limsoon","McConalogue"
11334,"Sales","Yurij","Vural"
11338,"Sales","Kwangsub","Hanratty"
11344,"Sales","Paddy","Gulak"
11353,"Sales","Utpal","Berztiss"
11359,"Sales","Subhrajyoti","Jayawardene"
11360,"Sales","Fen","Schach"
11372,"Sales","Susanta","Vilarrasa"
11377,"Sales","Dayanand","Rosti"
11389,"Sales","Ronnie","Provine"
11401,"Sales","Huan","Merey"
11402,"Sales","Freyja","Brizzi"
11412,"Sales","Werner","Demeyer"
11427,"Sales","Haldun","Iisaka"
11429,"Sales","Nagui","Kaminger"
11430,"Sales","Georgi","Klassen"
11441,"Sales","Marlo","Aingworth"
11443,"Sales","Szabolcs","Nivat"
11468,"Sales","Navin","Maksimenko"
11472,"Sales","Constantino","Ghandeharizadeh"
11478,"Sales","Nidapan","Ginneken"
11480,"Sales","Masoud","Itschner"
11482,"Sales","Uri","Deverell"
11483,"Sales","Zine","Mateescu"
11484,"Sales","Holgard","Siepmann"
11486,"Sales","Itzchak","Ramaiah"
11493,"Sales","Shen","Sevcikova"
11495,"Sales","Shin","Barriga"
11506,"Sales","Rance","Picel"
11515,"Sales","Ulf","Basawa"
11519,"Sales","Halsur","Chinen"
11521,"Sales","Eldridge","Eastman"
11530,"Sales","Oscar","Jarecki"
11535,"Sales","Aemilian","Ohori"
11537,"Sales","DAIDA","Pehl"
11546,"Sales","Duro","Vuskovic"
11547,"Sales","Kyoichi","Flexer"
11552,"Sales","Tommaso","Ferretti"
11556,"Sales","Masasuke","Hashii"
11557,"Sales","Candido","Pesch"
11567,"Sales","Teiji","Mitzlaff"
11579,"Sales","Jinxi","Merel"
11586,"Sales","Shridhar","Orsini"
11594,"Sales","Pradeep","Butner"
11601,"Sales","Erez","Ritzmann"
11609,"Sales","Sigeru","Marrakchi"
11611,"Sales","Annemarie","Mateescu"
11615,"Sales","Shem","Isaak"
11618,"Sales","Gian","Juneja"
11619,"Sales","Taiji","Ozeki"
11621,"Sales","Ottavia","Baaleh"
11632,"Sales","Baoqiu","Bach"
11659,"Sales","Tremaine","Pileggi"
11660,"Sales","Gill","Stenning"
11662,"Sales","Mokhtar","Hofting"
11663,"Sales","Maria","Trumbly"
11664,"Sales","Oksana","Brizzi"
11666,"Sales","Uno","Chimia"
11668,"Sales","Hiroyasu","Wursthorn"
11671,"Sales","Pranjal","Babu"
11672,"Sales","Munir","Businaro"
11680,"Sales","Aral","Iwayama"
11688,"Sales","Denis","Coullard"
11696,"Sales","Dante","Rothe"
11698,"Sales","Arun","Azevdeo"
11706,"Sales","Tesuya","Remmers"
11708,"Sales","Chenye","Angot"
11715,"Sales","Arnd","Albarhamtoshy"
11717,"Sales","Mona","Chaudhury"
11718,"Sales","Richard","Marshall"
11720,"Sales","Abdulla","Heusch"
11723,"Sales","Halsur","Bauknecht"
11728,"Sales","Serge","Makrucki"
11729,"Sales","Xiong","Engberts"
11730,"Sales","Tzu","Delaune"
11740,"Sales","Isaac","Pero"
11746,"Sales","Koichi","Marrakchi"
11747,"Sales","Aksel","Kossowski"
11753,"Sales","Fayez","Nishimukai"
11773,"Sales","Naftaly","Lorys"
11781,"Sales","Tua","Pluym"
11785,"Sales","Hongzhu","Kalsbeek"
11797,"Sales","Chenxi","Thambidurai"
11801,"Sales","Tommaso","Dayang"
11811,"Sales","Herb","Boissier"
11813,"Sales","Gita","Muhlberg"
11817,"Sales","Niranjan","Markovitch"
11828,"Sales","Mikhail","Paciorek"
11830,"Sales","Maya","Snedden"
11838,"Sales","Taiji","Nitta"
11840,"Sales","Jayson","Hofman"
11849,"Sales","Chenye","Homond"
11850,"Sales","Bikash","Maginnis"
11852,"Sales","Zhongwei","Yurek"
11857,"Sales","Divier","Farrag"
11859,"Sales","Ipke","Muhlberg"
11873,"Sales","Venkatesan","Reeken"
11874,"Sales","Baoqiu","Motley"
11880,"Sales","Akeel","Esposito"
11881,"Sales","Arra","Staelin"
11882,"Sales","Zhonghua","Manders"
11884,"Sales","Patricia","Moehrke"
11890,"Sales","Remmert","Kirkerud"
11892,"Sales","Tesuro","Lorys"
11897,"Sales","Cordelia","Setlzner"
11904,"Sales","DeForest","Flasterstein"
11908,"Sales","Candida","Iisaku"
11927,"Sales","Mana","Aingworth"
11936,"Sales","Oddvar","Jonsson"
11941,"Sales","Gaurav","Cyre"
11946,"Sales","Charlene","Maraist"
11947,"Sales","Kiyomitsu","Lortz"
11961,"Sales","Sumant","Birdsall"
11962,"Sales","Niranjan","Erde"
11964,"Sales","Tzu","Norsworthy"
11966,"Sales","Poornachandra","Rotem"
11969,"Sales","Sibyl","Lorcy"
11980,"Sales","Yechezkel","Pews"
12011,"Sales","Zhilian","Coorg"
12012,"Sales","Syozo","Zolotykh"
12013,"Sales","Baziley","Vidya"
12026,"Sales","Moon","Pleszkun"
12034,"Sales","Aemilian","Piazza"
12036,"Sales","Mads","Ratzlaff"
12046,"Sales","Xiong","Ranum"
12054,"Sales","Odysseas","Braccini"
12067,"Sales","Doowon","Kalsbeek"
12076,"Sales","Karlis","Siprelle"
12080,"Sales","Panayotis","Feinberg"
12082,"Sales","Xinan","Yamaashi"
12097,"Sales","Mostafa","Serdy"
12098,"Sales","Pranay","Eugenio"
12099,"Sales","Nobuyoshi","Kuzuoka"
12100,"Sales","Nevio","Beznosov"
12102,"Sales","Aron","Erde"
12113,"Sales","Larisa","DeMori"
12119,"Sales","Sachin","Peot"
12128,"Sales","Yannik","Barreiro"
12129,"Sales","Hairong","Isaac"
12146,"Sales","Urs","Garnick"
12149,"Sales","Suebskul","Grandbois"
12160,"Sales","Aamer","Garrabrants"
12178,"Sales","Miyeon","Chinal"
12184,"Sales","Chenxi","Zhang"
12189,"Sales","Berni","Redmiles"
12199,"Sales","Huan","Poupard"
12213,"Sales","Kwangho","Brizzi"
12224,"Sales","Nikolaus","Lenart"
12225,"Sales","Yongqiao","Narahara"
12229,"Sales","Howell","Pfau"
12232,"Sales","Subhankar","Ratnakar"
12234,"Sales","Miomir","Rosar"
12235,"Sales","Honesty","Haumacher"
12237,"Sales","Chikara","Ballarin"
12253,"Sales","Amabile","Gimarc"
12259,"Sales","Juichirou","Hofting"
12261,"Sales","Udi","Hardjono"
12273,"Sales","Jaideep","Uehara"
12284,"Sales","Hatim","Khasidashvili"
12290,"Sales","Jeanne","Braccini"
12291,"Sales","Masamitsu","Koyama"
12294,"Sales","Arch","Heydon"
12295,"Sales","Weicheng","Lammel"
12296,"Sales","Kendra","Garnier"
12297,"Sales","Yoshimitsu","Krone"
12301,"Sales","Oksana","Akazan"
12306,"Sales","Suvo","Menyhert"
12318,"Sales","Jingling","Vesna"
12321,"Sales","Heekeun","Schicker"
12325,"Sales","Alassane","Randt"
12330,"Sales","Oguz","Eugenio"
12349,"Sales","Yannik","Denos"
12358,"Sales","Achilleas","Syrotiuk"
12373,"Sales","Mooi","Driscoll"
12390,"Sales","Kwangsub","Kilgour"
12393,"Sales","Soenke","Uhrig"
12398,"Sales","Arif","Solovay"
12399,"Sales","Mihalis","Luga"
12400,"Sales","Genki","Winter"
12411,"Sales","Shao","Ibel"
12412,"Sales","Chaitali","Peres"
12414,"Sales","Kish","Kruskal"
12415,"Sales","Uri","Sluis"
12430,"Sales","Kristine","Feldmann"
12435,"Sales","Marek","Gadepally"
12438,"Sales","Yongmao","Mondadori"
12448,"Sales","Honglan","Salverda"
12454,"Sales","Kerryn","Farris"
12457,"Sales","Olivera","Pettis"
12460,"Sales","Jingling","Gerlach"
12464,"Sales","Shai","Milicic"
12478,"Sales","Yahiko","Hopewell"
12491,"Sales","Cullen","Gruenwald"
12497,"Sales","Stein","Penz"
12499,"Sales","Izaskun","Lamba"
12505,"Sales","Barton","Goldhammer"
12513,"Sales","Niteen","Vesna"
12521,"Sales","Geoffry","Ranka"
12523,"Sales","Tonia","Casley"
12537,"Sales","Avishai","Gonthier"
12541,"Sales","Shih","Nanard"
12552,"Sales","Mechthild","Zongker"
12560,"Sales","Leszek","Makinen"
12565,"Sales","Theron","Mullainathan"
12567,"Sales","Horward","DasSarma"
12575,"Sales","Sadok","Merel"
12582,"Sales","Saniya","Herath"
12590,"Sales","Gita","Rosenbaum"
12591,"Sales","Georgy","Makrucki"
12593,"Sales","Lubomir","Melter"
12595,"Sales","Yaghout","Morrey"
12598,"Sales","Hatem","Farrow"
12605,"Sales","Petter","Feldmann"
12612,"Sales","Chandrasekaran","Thimonier"
12617,"Sales","Shawna","Rusterholz"
12620,"Sales","Shahaf","Swick"
12622,"Sales","Jiafu","Kobara"
12624,"Sales","Zhongwei","Zykh"
12625,"Sales","Goo","Basart"
12629,"Sales","Kensyu","Siksek"
12640,"Sales","Shigeo","Lindqvist"
12645,"Sales","Kyoichi","Decaestecker"
12651,"Sales","Pragnesh","Bael"
12656,"Sales","Seshu","Morton"
12658,"Sales","Laurentiu","Farris"
12660,"Sales","Stamatina","Escriba"
12664,"Sales","Zhonghua","Parveen"
12673,"Sales","Jouni","Rajala"
12675,"Sales","Dekang","Krohm"
12681,"Sales","Rosalyn","Akaboshi"
12685,"Sales","Siamak","Openshaw"
12687,"Sales","Weicheng","Badache"
12690,"Sales","Valter","Mitchem"
12698,"Sales","Arunas","Paciorek"
12699,"Sales","Izaskun","Setia"
12703,"Sales","Luigi","Brookner"
12704,"Sales","Gino","Tetzlaff"
12705,"Sales","Dung","Driscoll"
12707,"Sales","Gregory","Zastre"
12708,"Sales","Hatem","Syang"
12716,"Sales","Angel","Theuretzbacher"
12720,"Sales","Spyrose","Blokdijk"
12724,"Sales","Parke","Lammel"
12732,"Sales","Mara","Takanami"
12742,"Sales","Supot","Bhattacharjee"
12756,"Sales","Mohit","Braccini"
12759,"Sales","LiMin","Kuszyk"
12761,"Sales","Hitofumi","Schaad"
12766,"Sales","Shuji","Molberg"
12770,"Sales","Maik","Benzaken"
12777,"Sales","Sreenivas","Cichocki"
12781,"Sales","Bogdan","Belinskaya"
12790,"Sales","Gunilla","Perl"
12798,"Sales","Lillian","Beeson"
12800,"Sales","Tiina","Hettesheimer"
12803,"Sales","Gad","Boissier"
12805,"Sales","Naraig","Itschner"
12818,"Sales","Arunas","Wendorf"
12826,"Sales","Claude","Mandell"
12834,"Sales","Tadahiro","Krohm"
12845,"Sales","Florian","Baar"
12858,"Sales","Jianwen","Driscoll"
12862,"Sales","Hidde","Mullainathan"
12870,"Sales","Elvis","Pfau"
12872,"Sales","Marl","Schmittgen"
12873,"Sales","Xiaoshan","Lorie"
12875,"Sales","Giri","Validov"
12880,"Sales","Fumiya","Setia"
12881,"Sales","Huai","Yurek"
12886,"Sales","Aimee","Liesche"
12890,"Sales","Neven","Casley"
12893,"Sales","Licheng","Crouzet"
12894,"Sales","Heng","Stafford"
12902,"Sales","Rimli","Perng"
12903,"Sales","Radhika","Salverda"
12909,"Sales","Dipankar","Lamba"
12915,"Sales","Arco","Ligten"
12917,"Sales","Sergi","Remmele"
12919,"Sales","Owen","Cooley"
12922,"Sales","Jacqueline","Porenta"
12931,"Sales","Spyrose","Hutton"
12943,"Sales","Kazuhide","Zucker"
12951,"Sales","Mohammad","Keirsey"
12954,"Sales","Dinkar","Walston"
12955,"Sales","Eckart","England"
12962,"Sales","Paraskevi","Beerel"
12964,"Sales","Hidefumi","Bennis"
12969,"Sales","Mohan","Angot"
12974,"Sales","Gift","Frolund"
12976,"Sales","Alejandro","Szmurlo"
12985,"Sales","Yoshimitsu","Hellwagner"
12993,"Sales","Subhash","Sessa"
12996,"Sales","Khalil","Madeira"
13007,"Sales","Yagil","Frolund"
13018,"Sales","Toshimi","Moehrke"
13028,"Sales","Mayumi","Siksek"
13033,"Sales","Satoru","Jansen"
13034,"Sales","Arunas","Rosen"
13035,"Sales","Waiman","Isaac"
13036,"Sales","Idoia","Heystek"
13037,"Sales","Alagu","Schaad"
13043,"Sales","Keiichiro","Kobuchi"
13056,"Sales","Arvind","Zirintsis"
13065,"Sales","Zine","Schiper"
13073,"Sales","Utpal","Journel"
13075,"Sales","Rosella","Morrin"
13081,"Sales","Mandell","Bahi"
13083,"Sales","Marek","Wilfing"
13093,"Sales","Sajjan","Unno"
13112,"Sales","Hiroyasu","Pouyioutas"
13115,"Sales","Jianhua","Comellas"
13117,"Sales","Arve","Masand"
13124,"Sales","Quingbo","Garnick"
13142,"Sales","Sanjiv","Kowalchuk"
13146,"Sales","Haldon","Erie"
13147,"Sales","Shichao","Ginesta"
13154,"Sales","Shan","Soicher"
13158,"Sales","Deborah","Kilgore"
13162,"Sales","Shaw","Goodrum"
13169,"Sales","Fun","Hasham"
13172,"Sales","Mountaz","Whittlesey"
13173,"Sales","Arve","Horswill"
13176,"Sales","Pranas","Thiria"
13178,"Sales","Kankanahalli","Itschner"
13179,"Sales","Moty","Janocha"
13186,"Sales","Kyoichi","Barbanera"
13187,"Sales","Maria","Pusterhofer"
13201,"Sales","Tomofumi","Ranta"
13205,"Sales","Maja","Breugel"
13210,"Sales","Jianhua","Klassen"
13212,"Sales","Thodoros","Boyle"
13213,"Sales","Hein","Billawala"
13223,"Sales","Koldo","Rabejac"
13227,"Sales","Goncalo","Pell"
13236,"Sales","Flemming","Axelband"
13238,"Sales","Ebru","Foote"
13241,"Sales","Uta","Narahari"
13243,"Sales","Fay","Huxford"
13246,"Sales","Adil","Siepmann"
13248,"Sales","Keiichiro","Guting"
13249,"Sales","Oldrich","Rissland"
13259,"Sales","Cheong","Dredge"
13261,"Sales","Martial","Peternell"
13264,"Sales","Oguz","Hofting"
13268,"Sales","Munehiro","Yurov"
13292,"Sales","Bokyung","Alpin"
13293,"Sales","Neelam","Yurov"
13303,"Sales","Koldo","Rissanen"
13305,"Sales","Bikash","Herath"
13308,"Sales","Demin","Melter"
13329,"Sales","Ottavia","Rissland"
13335,"Sales","Val","Akaboshi"
13345,"Sales","Hatsukazu","Basart"
13349,"Sales","Zeydy","Danner"
13367,"Sales","Xumin","Swiler"
13372,"Sales","Valeri","Staudhammer"
13384,"Sales","Nectarios","Ghemri"
13387,"Sales","Froduald","Tzvieli"
13392,"Sales","Fumitake","Beidas"
13403,"Sales","Toney","Diderrich"
13404,"Sales","Luerbio","Halevi"
13405,"Sales","Randy","Baba"
13410,"Sales","Tremaine","Rebaine"
13413,"Sales","Sanjit","Iivonen"
13414,"Sales","Nevio","Hofstetter"
13417,"Sales","Dipayan","Condotta"
13419,"Sales","Bouchung","Leivant"
13423,"Sales","Giri","Chartres"
13427,"Sales","Sreekrishna","Narwekar"
13428,"Sales","Sanjai","Kalloufi"
13431,"Sales","Danco","Sidje"
13432,"Sales","Masadi","Armand"
13436,"Sales","Mana","Picaronny"
13447,"Sales","Yucel","Lortz"
13449,"Sales","Subhada","Coorg"
13466,"Sales","LiMin","Yoshizawa"
13475,"Sales","Kamakshi","Piancastelli"
13477,"Sales","Reuven","Karlin"
13479,"Sales","Youjian","Besselaar"
13489,"Sales","Fumino","Itschner"
13491,"Sales","Xiaocheng","Halevi"
13496,"Sales","Dipankar","Lortz"
13498,"Sales","Mohammad","Delaune"
13501,"Sales","Caolyn","Peek"
13503,"Sales","Renee","Milicia"
13513,"Sales","Atilio","Kitsuregawa"
13515,"Sales","Sachin","Kisuki"
13519,"Sales","Kristin","Cardazo"
13524,"Sales","Chaoyi","Porotnikoff"
13528,"Sales","Fumitaka","Liesche"
13529,"Sales","Toshimori","Matzen"
13540,"Sales","Cordelia","Krohn"
13542,"Sales","Fun","Budinsky"
13543,"Sales","Tua","Garigliano"
13544,"Sales","Beshir","Sullins"
13551,"Sales","Shuichi","Ducloy"
13553,"Sales","Masato","Cusworth"
13555,"Sales","Lijia","Matteis"
13559,"Sales","Etsuo","Yurek"
13564,"Sales","Jongsuk","Manderick"
13577,"Sales","Tianruo","Penttonen"
13588,"Sales","Xuejia","Dahlbom"
13599,"Sales","Gor","Versino"
13602,"Sales","Kirk","Bazelow"
13604,"Sales","Tzu","Stille"
13605,"Sales","Dmitry","Encarnacion"
13606,"Sales","Tuval","Feldmann"
13607,"Sales","Khedija","Rusmann"
13608,"Sales","Charmane","Ducloy"
13618,"Sales","Xiaoqiang","Ferretti"
13622,"Sales","Tamiya","Juneja"
13632,"Sales","Teiji","Brattka"
13650,"Sales","Shaowei","Chepyzhov"
13656,"Sales","Oldrich","Ferretti"
13660,"Sales","Ziya","McConalogue"
13661,"Sales","Marsal","Kobara"
13672,"Sales","Tremaine","Desikan"
13676,"Sales","Gadiel","Avouris"
13680,"Sales","Denny","Speer"
13684,"Sales","Elvia","Christ"
13690,"Sales","Constantino","Osgood"
13691,"Sales","Sandeepan","Schnelling"
13692,"Sales","Yongdong","Kisuki"
13700,"Sales","Mingdong","Weedon"
13709,"Sales","Mamdouh","Brendel"
13715,"Sales","Licheng","Range"
13718,"Sales","Lein","Gronowski"
13720,"Sales","Rildo","Braccini"
13721,"Sales","Sugwoo","Delgrossi"
13723,"Sales","Magy","Schnelling"
13736,"Sales","Pranas","Albarhamtoshy"
13747,"Sales","Masaru","Capobianchi"
13752,"Sales","Kwangho","Otillio"
13754,"Sales","Jongsuk","Bahr"
13758,"Sales","Subhrajyoti","Sidou"
13762,"Sales","Fumino","Choobineh"
13763,"Sales","Etsuo","Tsukune"
13764,"Sales","Demin","Usery"
13769,"Sales","Yakichi","Trogemann"
13770,"Sales","Eirik","Koyama"
13775,"Sales","Arve","Maierhofer"
13784,"Sales","Surveyors","Ranst"
13785,"Sales","Shietung","Legleitner"
13786,"Sales","Takushi","Berendt"
13790,"Sales","Hongzue","DiGiano"
13801,"Sales","Shih","Mayerwieser"
13805,"Sales","Barry","Veldwijk"
13808,"Sales","Becky","Stentiford"
13812,"Sales","Fumiko","Sury"
13836,"Sales","Taiji","Przulj"
13845,"Sales","Alejandro","Ritcey"
13848,"Sales","Jianhao","Wallrath"
13856,"Sales","Xiping","Conta"
13863,"Sales","Reinhard","Baig"
